objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
wt_1,,71b7nsGl56k,The World Tree: The Cosmic Tree That Holds the Universe Together - Norse Mythology,video/mp4,A history of the World Tree Yggdrasill and how it connects all earthly and beyond entities.,Mythology Explained,,2022-11-06,1200,,Tree; Norse; Interconnected; Video; History; Modern,Scandinavia,62.2786,12.3402,,,,,,,,,,eng,
wt_2,,Txy-3IpFz8M,Tree Mythologies Explained | Fate & Fabled,video/mp4,The use of trees in various mythologies around the world.,Storied,,2023-04-26,1200,,Tree; Norse; Interconnected; Mythology; Video; Modern,Scandinavia,62.2786,12.3402,,,,,,,,,,eng,
wt_3,worldtree_1.jpg,,World Tree Artist Depiction,image/jpg,A watercolor painting representation of an altered Norse World Tree.,redheaded-step-child,,2009-07-13,1200,,Tree; Norse; Interconnected; Painting; Modern; Plant; Art,Scandinavia,62.2786,12.3402,,,,,,,Reproduction rights belong to Travis Simmons,,,,
c_1,,yUz7Ha6WT6E,The History and Future of the Yucatan Cenotes,video/mp4,The History of Cenotes and their impact to the surrounding communities,Tabitha Lipkin,,2021-12-06,250,,Water; Maya; Interconnected; Video; Modern; Cenote,Yucatan,20.7099,-89.0943,,,,,,,,,,eng,
c_2,,l01coq2-FRc,Cenote: Passage to the Maya Underworld,video/mp4,How the Mayans attached Cenotes to their Underworld,Odyssey Earth,,2019-08-22,250,,Water; Maya; Interconnected; Video; Modern; Cenote,Yucatan,20.7099,-89.0943,,,,,,,,,,eng,
c_3,cenote_3.png,,122 Offerings for the Rain at the Peabody Museum,image/png,Sketches of fiber materials from a Yucatan cenote,Gala Porras-Kim,,2021,250,,Plant; Maya; Interconnected; Material; Drawing; Art; Cenote; Modern,Yucatan,20.7099,-89.0943,,,"MoMA, Fund for the Twenty-First Century",,,801.2022,,,,,
c_4,cenote_4.jpg,,"Textile fragment, plain weave",image/jpg,Cotton plainweave fiber material from a Yucatan cenote,Unknown,,2020,250,,Plant; Maya; Interconnected; Material; Cenote; Ancient,Yucatan,20.7099,-89.0943,,,Peabody Museum of Archaeology and Ethnology,,,07-7-20/37824.1,,,,,
c_5,cenote_5.jpg,,Sacred Cenote,image/jpg,A 1925 photograph of a Yucatan Cenote of Sacrifice,Carnegie Institution of Washington,,1925,250,,Maya; Cenote; Photograph; Interconnected; Vintage,Yucatan,20.7099,-89.0943,,,Peabody Museum of Archaeology and Ethnology,,,58-34-00/2.314,,,,,
c_6,cenote_6.png,,"Maya hieroglyphic sign for ""cenote.""",image/png,"A drawing of the Mayan hieroglyphic sign for ""cenote""",Marc Zender,,2021-04-01,250,,Maya; Cenote; Interconnected; Drawing; Art; Modern,Yucatan,20.7099,-89.0943,,,Reading Maya Art: A Hieroglyphic Guide to Ancient Maya Painting,,,,,,,,
c_7,cenote_7.jpg,,Greenstone Picture Plaque,image/jpg,A depiction of a human figure on greenstone found in the Sacred Cenote,Unknown,,2020,250,,Maya; Cenote; Interconnected; Stones; Material: Ancient,Yucatan,20.7099,-89.0943,,,"Peabody Museum Expedition, E. H. Thompson, Director, 1907-1910",,,10-71-20/C6666,,,,,
c_8,cenote_8.jpg,,Portion of Sheet Gold Disc G,image/jpg,"Fragmented pieces of a gold-plated disc ""G"" mounted on wood. Found in a Yucatan cenote.",Unknown,,2020,250,,Maya; Cenote; Interconnected; Gold; Material; Cenote; Ancient,Yucatan,20.7099,-89.0943,,,"Peabody Museum Expedition, E. H. Thompson, Director, 1907-1910",,,10-71-20/C10067,,,,,
c_9,cenote_9.png,,Gold Disc Drawing,image/png,A drawing of the possible whole gold disc image. ,Tatiana Proskouriakoff,,2020,250,,Maya; Cenote; Interconnected; Drawing; Art; Vintage,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_10,cenote_10.jpg,,Tripod bowl containing copal and greenstone beads,image/jpg,A ceramic bowl filled with copal resin and greenstone beads. Found in a Yucatan cenote.,Unknown,,2020,250,,Maya; Cenote; Interconnected; Material; Ancient,Yucatan,20.7099,-89.0943,,,"Peabody Museum Expedition, E. H. Thompson, Director, 1904-1907.",,,07-7-20/C4561; C4561,,,,,
c_11,cenote_11.png,,The World of the Cenote 1,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_12,cenote_12.png,,The World of the Cenote 2,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_13,cenote_13.png,,The World of the Cenote 3,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_14,cenote_14.png,,The World of the Cenote 4,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_15,cenote_15.png,,The World of the Cenote 5,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_16,cenote_16.png,,The World of the Cenote 6,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_17,cenote_17.png,,The World of the Cenote 7,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_18,cenote_18.png,,The World of the Cenote 8,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_19,cenote_19.png,,The World of the Cenote 9,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
c_20,cenote_20.png,,The World of the Cenote 10,image/png,An image of a cenote,Unknown,,,250,,Maya; Cenote; Interconneced; Photograph,Yucatan,20.7099,-89.0943,,,,,,,,,,,
dd_1,djinndesert_1.png,,A Djinn Ghost Story,image/png,A podcast transcript of a horror ghost story of the djinn in the desert,Ghost,,2024-02-27,4000BC,,Bedouin; Desert; Interconnected; Story; Horror; Podcast,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_2,,b8DQWTts9vw,What are the Jinn?,video/mp4,"The history, origins, and impacts of djinn.",Let's Talk Religion,,2020-10-18,4000BC,,Bedouin; Desert; Interconnected; Video; History,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,eng,
dd_3,djinndesert_3.png,,Jinn Shaitan,image/png,A Jinn Shaitan depiction from from the 14th century Book of Wonders,Hassan Esfahani,,1300,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_4,djinndesert_4.png,,Two Jinns from Iran/Central Asia,image/png,A depiction of two Jinns from Iran/Central Asia from the Timurid Period ,Unknown,,1370,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_5,djinndesert_5.png,,A toothache Djinn,image/png,Jinns that cause toothaches in an 18th century Ottoman Manuscript,Unknown,,1700,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_6,djinndesert_6.png,,A Djinn drawn in the style of ‘Muhammad Siyah Qalam,image/png,A drawn djinn in 14th century style,Muhammad Taqi,,1300,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_7,djinndesert_7.png,,Desert Djinn,image/png,A drawn djinn by an Ottoman master,Mehmed Siyah Kalem,,,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_8,djinndesert_8.png,,Rustom Fighting a Djinn,image/png,A battle with a Djinn from a medieval Islamic manuscript,Unknown,,800,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_9,djinndesert_9.png,,The 72nd Chapter of the Quran,image/png,A chapter of the Quran titled Surah Jinn,Unknown,,609,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_10,djinndesert_10.png,,Medieval Drawing of Djinns,image/png,Various Djinns from a medieval Islamic manuscript: the Wonders of Creation,Zakarīyā ibn Muḥammad al-Qazwīnī,,1567,4000BC,,Bedouin; Desert; Manunscript; Art; Ancient,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_11,djinndesert_11.png,,The World of the Djinn Desert 1,image/png,A wide-lense desertscape,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_12,djinndesert_12.png,,The World of the Djinn Desert 2,image/png,"A ""Shamal"" wind storm in the desert",,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_13,djinndesert_13.png,,The World of the Djinn Desert 3,image/png,A sunset over the desert,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_14,djinndesert_14.png,,The Arabian Desert,image/png,A landscape oil painting of the Arabian desert,Frederic Edwin Church,,1870,4000BC,,Bedouin; Desert; Interconnected; Painting; Art; Vintage,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_15,djinndesert_15.png,,The World of the Djinn Desert 4,image/png,An image of a building consumed by sand,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_16,djinndesert_16.png,,The World of the Djinn Desert 5,image/png,Camels in the Djinn desert,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_17,djinndesert_17.png,,The World of the Djinn Desert 6,image/png,Music in the Djinn Desert,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
